State_Idx, Turn_Number, Duration_Frames, Duration_Seconds
0, 1, 5, 2.5
1, 2, 8, 4.0
2, 3, 5, 2.5
3, 4, 10, 5.0
4, 5, 10, 5.0
5, 6, 5, 2.5
6, 7, 8, 4.0
7, 8, 5, 2.5
8, 9, 10, 5.0
9, 10, 12, 6.0
10, 11, 5, 2.5
11, 12, 8, 4.0
12, 13, 5, 2.5
13, 14, 10, 5.0
14, 15, 12, 6.0
15, 16, 5, 2.5
16, 17, 8, 4.0
17, 18, 5, 2.5
18, 19, 10, 5.0
19, 20, 10, 5.0
20, 21, 10, 5.0
21, 22, 5, 2.5
22, 23, 8, 4.0
23, 24, 5, 2.5
24, 25, 10, 5.0
25, 26, 12, 6.0
26, 27, 5, 2.5
27, 28, 8, 4.0
28, 29, 8, 4.0
29, 30, 5, 2.5
30, 31, 8, 4.0
31, 32, 5, 2.5
32, 33, 10, 5.0
33, 34, 10, 5.0
34, 35, 5, 2.5
35, 36, 8, 4.0
36, 37, 5, 2.5
37, 38, 10, 5.0
38, 39, 10, 5.0
39, 40, 5, 2.5
40, 41, 8, 4.0
41, 42, 5, 2.5
42, 43, 10, 5.0
43, 44, 10, 5.0
44, 45, 10, 5.0
45, 46, 5, 2.5
46, 47, 8, 4.0
47, 48, 8, 4.0
48, 49, 5, 2.5
49, 50, 8, 4.0
50, 51, 5, 2.5
51, 52, 10, 5.0
52, 53, 10, 5.0
53, 54, 8, 4.0
54, 55, 5, 2.5
55, 56, 5, 2.5
56, 57, 10, 5.0
57, 58, 12, 6.0
58, 59, 5, 2.5
59, 60, 5, 2.5
60, 61, 8, 4.0
61, 62, 5, 2.5
62, 63, 5, 2.5
63, 64, 10, 5.0
64, 65, 12, 6.0
65, 66, 5, 2.5
66, 67, 8, 4.0
67, 68, 5, 2.5
68, 69, 10, 5.0
69, 70, 10, 5.0
70, 71, 5, 2.5
71, 72, 8, 4.0
72, 73, 5, 2.5
73, 74, 5, 2.5
74, 75, 12, 6.0
75, 76, 5, 2.5
76, 77, 8, 4.0
77, 78, 5, 2.5
78, 79, 12, 6.0
79, 80, 8, 4.0
