Strategy,Greedy,Conservative(1),Conservative(2),Conservative(3),Conservative(4),Heuristic(0.3),Heuristic(0.5),Heuristic(1.0),Heuristic(1.5),Heuristic(2.0),OppAware(0.3-1-2),OppAware(0.5-1-2),OppAware(0.7-1-1.5),Random(0.3),GreedyImproved1,GreedyImproved2,AdaptiveThreshold,Proportional(0.33),Proportional(0.5),GreedyFraction(0.33),GreedyFraction(0.5),FiftyPercentSurvival,ExpectedValueMax,GreedyUntil1Col,GreedyUntil3Col
Greedy,--,0.1,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1
Conservative(1),99.9,--,32.7,0.0,0.0,85.5,38.9,3.4,3.8,13.4,9.6,7.5,4.2,1.1,0.0,0.1,0.0,41.9,5.8,0.1,6.2,0.8,4.4,1.3,31.2
Conservative(2),99.8,67.3,--,0.2,0.2,88.9,48.8,7.7,9.0,27.0,19.5,13.7,11.1,3.4,0.0,0.2,0.4,64.2,16.0,0.5,8.6,2.2,8.4,2.6,33.1
Conservative(3),100.0,100.0,99.8,--,40.6,94.8,77.9,57.4,82.3,97.4,80.8,75.5,71.5,68.4,28.8,23.1,32.6,100.0,98.4,25.5,42.0,44.9,60.3,20.9,55.4
Conservative(4),100.0,100.0,99.8,59.4,--,95.0,80.5,64.9,87.8,98.0,84.2,81.4,77.2,75.5,41.1,32.8,45.0,100.0,98.8,35.7,47.1,53.0,65.8,26.4,57.0
Heuristic(0.3),99.9,14.5,11.1,5.2,5.0,--,14.1,7.1,8.9,10.7,13.6,9.8,7.8,6.6,4.2,5.2,4.9,13.4,10.2,4.8,8.1,5.6,7.2,4.4,13.6
Heuristic(0.5),100.0,61.1,51.2,22.1,19.5,85.9,--,29.7,38.7,48.6,52.6,38.3,33.5,29.4,18.6,18.7,19.6,57.5,43.3,18.0,28.1,24.7,30.8,14.8,40.2
Heuristic(1.0),100.0,96.6,92.3,42.6,35.1,92.9,70.3,--,69.9,87.8,76.4,67.4,62.8,59.2,34.0,31.2,38.3,96.0,84.7,30.2,41.2,44.4,54.4,23.3,58.8
Heuristic(1.5),100.0,96.2,91.0,17.7,12.2,91.1,61.3,30.1,--,81.5,57.7,50.3,44.8,38.8,11.7,12.2,14.0,95.6,74.8,11.8,25.9,22.4,37.6,13.4,51.1
Heuristic(2.0),100.0,86.6,73.0,2.6,2.0,89.3,51.4,12.2,18.5,--,32.9,26.7,21.6,12.9,1.8,1.4,1.7,85.4,42.0,1.8,12.8,6.2,15.9,5.9,42.8
