Rank,Columns,Success_Prob,Bust_Prob,Clean_Prob,Q_Value,Success_Count,Clean_Count
1,"{6,7,8}",0.9198,0.0802,0.3981,1.433,1192,516
2,"{5,7,8}",0.9144,0.0856,0.3819,1.418,1185,495
3,"{6,7,9}",0.9144,0.0856,0.3819,1.418,1185,495
4,"{4,6,8}",0.9113,0.0887,0.2816,1.309,1181,365
5,"{6,8,10}",0.9113,0.0887,0.2816,1.309,1181,365
6,"{4,7,8}",0.9028,0.0972,0.3395,1.376,1170,440
7,"{6,7,10}",0.9028,0.0972,0.3395,1.376,1170,440
8,"{5,6,8}",0.8951,0.1049,0.3333,1.372,1160,432
9,"{6,8,9}",0.8951,0.1049,0.3333,1.372,1160,432
10,"{3,7,8}",0.8927,0.1073,0.2909,1.326,1157,377
11,"{4,7,9}",0.8927,0.1073,0.2909,1.326,1157,377
12,"{5,7,10}",0.8927,0.1073,0.2909,1.326,1157,377
13,"{6,7,11}",0.8927,0.1073,0.2909,1.326,1157,377
14,"{2,7,8}",0.8904,0.1096,0.2577,1.289,1154,334
15,"{6,7,12}",0.8904,0.1096,0.2577,1.289,1154,334
16,"{5,6,7}",0.8866,0.1134,0.3449,1.389,1149,447
17,"{7,8,9}",0.8866,0.1134,0.3449,1.389,1149,447
18,"{4,6,7}",0.8858,0.1142,0.3333,1.376,1148,432
19,"{7,8,10}",0.8858,0.1142,0.3333,1.376,1148,432
20,"{2,6,8}",0.8835,0.1165,0.2199,1.249,1145,285
21,"{4,6,10}",0.8835,0.1165,0.2199,1.249,1145,285
22,"{4,8,10}",0.8835,0.1165,0.2199,1.249,1145,285
23,"{6,8,12}",0.8835,0.1165,0.2199,1.249,1145,285
24,"{4,7,10}",0.8765,0.1235,0.2346,1.268,1136,304
25,"{5,6,9}",0.8665,0.1335,0.2847,1.329,1123,369
26,"{5,8,9}",0.8665,0.1335,0.2847,1.329,1123,369
27,"{3,6,7}",0.8650,0.1350,0.2816,1.326,1121,365
28,"{7,8,11}",0.8650,0.1350,0.2816,1.326,1121,365
29,"{2,6,7}",0.8642,0.1358,0.2515,1.291,1120,326
30,"{4,6,9}",0.8642,0.1358,0.2515,1.291,1120,326
31,"{5,8,10}",0.8642,0.1358,0.2515,1.291,1120,326
32,"{7,8,12}",0.8642,0.1358,0.2515,1.291,1120,326
33,"{4,8,9}",0.8627,0.1373,0.2485,1.288,1118,322
34,"{5,6,10}",0.8627,0.1373,0.2485,1.288,1118,322
35,"{3,6,8}",0.8534,0.1466,0.2485,1.291,1106,322
36,"{5,7,9}",0.8534,0.1466,0.2917,1.342,1106,378
37,"{6,8,11}",0.8534,0.1466,0.2485,1.291,1106,322
38,"{4,5,7}",0.8480,0.1520,0.2755,1.325,1099,357
39,"{7,9,10}",0.8480,0.1520,0.2755,1.325,1099,357
